:START_ID,:END_ID,:TYPE
streamable-http,class-protocol,BELONGS_TO
json-rpc,class-protocol,BELONGS_TO
acp,class-protocol,BELONGS_TO
lsp,class-protocol,BELONGS_TO
nxm-problem,class-protocol,BELONGS_TO
capability-negotiation,class-protocol,BELONGS_TO
cdp,class-protocol,BELONGS_TO
websocket,class-protocol,BELONGS_TO
cdp-domain,class-protocol,BELONGS_TO
headless,class-protocol,BELONGS_TO
accessibility-tree,class-protocol,BELONGS_TO
cloud-browser,class-protocol,BELONGS_TO
execution-environment,class-infra,BELONGS_TO
sandbox,class-infra,BELONGS_TO
spawn-per-call,class-infra,BELONGS_TO
session-snapshot,class-infra,BELONGS_TO
container,class-infra,BELONGS_TO
namespace,class-infra,BELONGS_TO
cgroups,class-infra,BELONGS_TO
container-image,class-infra,BELONGS_TO
docker-backend,class-infra,BELONGS_TO
ssh-backend,class-infra,BELONGS_TO
modal-backend,class-infra,BELONGS_TO
daytona-backend,class-infra,BELONGS_TO
singularity-backend,class-infra,BELONGS_TO
rootless,class-infra,BELONGS_TO
vm-isolation,class-infra,BELONGS_TO
serverless,class-infra,BELONGS_TO
file-sync,class-infra,BELONGS_TO
reproducibility,class-infra,BELONGS_TO
nix,class-infra,BELONGS_TO
exact-pinning,class-infra,BELONGS_TO
lazy-deps,class-infra,BELONGS_TO
ci-cd,class-infra,BELONGS_TO
command-approval,class-security,BELONGS_TO
yolo-mode,class-security,BELONGS_TO
hardline-blocklist,class-security,BELONGS_TO
untrusted-content,class-security,BELONGS_TO
prompt-injection,class-security,BELONGS_TO
tool-poisoning,class-security,BELONGS_TO
secrets-env,class-security,BELONGS_TO
sanitization,class-security,BELONGS_TO
narrow-waist,class-design,BELONGS_TO
footprint-ladder,class-design,BELONGS_TO
config-yaml,class-design,BELONGS_TO
behavior-contract,class-design,BELONGS_TO
change-detector,class-design,BELONGS_TO
e2e-validation,class-design,BELONGS_TO
escape-hatch,class-design,BELONGS_TO
conventional-commits,class-design,BELONGS_TO
cron,class-ops,BELONGS_TO
cron-scheduler,class-ops,BELONGS_TO
plugin,class-ops,BELONGS_TO
plugin-hook,class-ops,BELONGS_TO
observability,class-ops,BELONGS_TO
acp-adapter,class-ops,BELONGS_TO
i18n,class-ops,BELONGS_TO
batch-runner,class-ops,BELONGS_TO
pretraining,class-learning,BELONGS_TO
fine-tuning,class-learning,BELONGS_TO
instruction-tuning,class-learning,BELONGS_TO
rlhf,class-learning,BELONGS_TO
peft,class-learning,BELONGS_TO
lora,class-learning,BELONGS_TO
distillation,class-learning,BELONGS_TO
quantization,class-learning,BELONGS_TO
open-weights,class-learning,BELONGS_TO
benchmark,class-learning,BELONGS_TO
inference,class-llm,BELONGS_TO
latency,class-llm,BELONGS_TO
streaming,class-llm,BELONGS_TO
rate-limit,class-llm,BELONGS_TO
backoff,class-llm,BELONGS_TO
structured-output,class-llm,BELONGS_TO
constrained-decoding,class-llm,BELONGS_TO
context-caching-provider,class-llm,BELONGS_TO
multi-agent,class-agent,BELONGS_TO
orchestration,class-agent,BELONGS_TO
human-in-the-loop,class-agent,BELONGS_TO
autonomy,class-agent,BELONGS_TO
agent-loop-termination,class-agent,BELONGS_TO
multimodal,class-llm,BELONGS_TO
vision-model,class-llm,BELONGS_TO
stt,class-llm,BELONGS_TO
tts,class-llm,BELONGS_TO
nous-portal,class-design,BELONGS_TO
managed-tools,class-design,BELONGS_TO
turn-isolation,class-design,BELONGS_TO
skin,class-design,BELONGS_TO
setup-wizard,class-design,BELONGS_TO
webhook,class-gateway,BELONGS_TO
api-server,class-gateway,BELONGS_TO
triage-sweeper,class-ops,BELONGS_TO
optional-skills,class-memory,BELONGS_TO
trajectory,class-ops,BELONGS_TO
